2021-05-07 09:51:40 status half-installed libapt-pkg5.0:amd64 1.8.2.1
2021-05-07 09:51:41 status unpacked libapt-pkg5.0:amd64 1.8.2.3
2021-05-07 09:51:41 startup packages configure
2021-05-07 09:51:41 configure libapt-pkg5.0:amd64 1.8.2.3 <none>
2021-05-07 09:51:41 status unpacked libapt-pkg5.0:amd64 1.8.2.3
2021-05-07 09:51:41 status half-configured libapt-pkg5.0:amd64 1.8.2.3
2021-05-07 09:51:41 status installed libapt-pkg5.0:amd64 1.8.2.3
2021-05-07 09:51:41 startup archives unpack
2021-05-07 09:51:41 upgrade debian-archive-keyring:all 2019.1 2019.1+deb10u1
2021-05-07 09:51:41 status half-configured debian-archive-keyring:all 2019.1
2021-05-07 09:51:41 status unpacked debian-archive-keyring:all 2019.1
2021-05-07 09:51:41 status half-installed debian-archive-keyring:all 2019.1
2021-05-07 09:51:41 status unpacked debian-archive-keyring:all 2019.1+deb10u1
2021-05-07 09:51:42 startup packages configure
2021-05-07 09:51:42 configure debian-archive-keyring:all 2019.1+deb10u1 <none>
2021-05-07 09:51:42 status unpacked debian-archive-keyring:all 2019.1+deb10u1
2021-05-07 09:51:42 status half-configured debian-archive-keyring:all 2019.1+deb10u1
2021-05-07 09:51:42 status installed debian-archive-keyring:all 2019.1+deb10u1
2021-05-07 09:51:42 startup archives unpack
2021-05-07 09:51:42 upgrade libp11-kit0:amd64 0.23.15-2 0.23.15-2+deb10u1
2021-05-07 09:51:42 status half-configured libp11-kit0:amd64 0.23.15-2
2021-05-07 09:51:42 status unpacked libp11-kit0:amd64 0.23.15-2
2021-05-07 09:51:42 status half-installed libp11-kit0:amd64 0.23.15-2
2021-05-07 09:51:42 status unpacked libp11-kit0:amd64 0.23.15-2+deb10u1
2021-05-07 09:51:42 startup packages configure
2021-05-07 09:51:42 configure libp11-kit0:amd64 0.23.15-2+deb10u1 <none>
2021-05-07 09:51:42 status unpacked libp11-kit0:amd64 0.23.15-2+deb10u1
2021-05-07 09:51:42 status half-configured libp11-kit0:amd64 0.23.15-2+deb10u1
2021-05-07 09:51:42 status installed libp11-kit0:amd64 0.23.15-2+deb10u1
2021-05-07 09:51:42 startup archives unpack
2021-05-07 09:51:42 upgrade libgnutls30:amd64 3.6.7-4+deb10u5 3.6.7-4+deb10u6
2021-05-07 09:51:42 status half-configured libgnutls30:amd64 3.6.7-4+deb10u5
2021-05-07 09:51:42 status unpacked libgnutls30:amd64 3.6.7-4+deb10u5
2021-05-07 09:51:42 status half-installed libgnutls30:amd64 3.6.7-4+deb10u5
2021-05-07 09:51:42 status unpacked libgnutls30:amd64 3.6.7-4+deb10u6
2021-05-07 09:51:42 startup packages configure
2021-05-07 09:51:42 configure libgnutls30:amd64 3.6.7-4+deb10u6 <none>
2021-05-07 09:51:42 status unpacked libgnutls30:amd64 3.6.7-4+deb10u6
2021-05-07 09:51:42 status half-configured libgnutls30:amd64 3.6.7-4+deb10u6
2021-05-07 09:51:42 status installed libgnutls30:amd64 3.6.7-4+deb10u6
2021-05-07 09:51:42 startup archives unpack
2021-05-07 09:51:42 upgrade apt:amd64 1.8.2.1 1.8.2.3
2021-05-07 09:51:42 status half-configured apt:amd64 1.8.2.1
2021-05-07 09:51:42 status unpacked apt:amd64 1.8.2.1
2021-05-07 09:51:42 status half-installed apt:amd64 1.8.2.1
2021-05-07 09:51:45 status unpacked apt:amd64 1.8.2.3
2021-05-07 09:51:45 startup packages configure
2021-05-07 09:51:45 configure apt:amd64 1.8.2.3 <none>
2021-05-07 09:51:45 status unpacked apt:amd64 1.8.2.3
2021-05-07 09:51:45 status half-configured apt:amd64 1.8.2.3
2021-05-07 09:51:46 status installed apt:amd64 1.8.2.3
2021-05-07 09:51:46 startup archives unpack
